Inisial,NIM,Usia,Jenis Kelamin,Income,Expense,Alasan Utama Penggunaan,Frekuensi Penggunaan
NFA,1.9509E+14,21,Perempuan,1000000,500000,Transfer,4
ADI,1.9509E+14,22,Laki-laki,1500000,1500000,Belanja,3
UM,1.95091E+14,21,Perempuan,700000,500000,Promo/cashback,2
MIBS,1.9509E+14,22,Perempuan,800000,750000,Promo/cashback,8
ABF,1.95091E+14,21,Perempuan,2400000,1500000,Transfer,3
UD,1.95091E+14,22,Perempuan,1000000,1000000,Voucher Hiburan,1
NNAW,1.9509E+14,22,Perempuan,1800000,1600000,Transfer,2
AZMF,1.9509E+14,20,Perempuan,1000000,800000,Transfer,1
SBM,1.9509E+14,21,Laki-laki,2000000,1050000,Belanja,15
NP,1.9509E+14,21,Perempuan,1200000,1000000,Belanja,0
KRA,1.9509E+14,22,Perempuan,1000000,800000,Transfer,0
DRN,1.9509E+14,22,Perempuan,1500000,1500000,Transfer,3
ZTA,1.9509E+14,22,Perempuan,1500000,1500000,Belanja,15
HAP,1.9509E+14,21,Perempuan,2000000,2000000,Transfer,14
AHN,1.9509E+14,20,Laki-laki,1000000,1000000,Transfer,4
DRNA,1.9509E+14,21,Perempuan,1000000,900000,Belanja,2
AFI,1.95091E+14,21,Laki-laki,4000000,2800000,Belanja,4
DP,1.95091E+14,20,Perempuan,1500000,1000000,Belanja,1
AMI,1.9509E+14,22,Perempuan,550000,550000,Promo/cashback,2
NNH,1.9509E+14,22,Perempuan,1000000,950000,Transfer,8
MRM,1.95091E+14,22,Laki-laki,750000,400000,Transfer,2
BDK,1.95091E+14,22,Laki-laki,700000,800000,Transfer,7
FAS,1.95091E+14,21,Perempuan,450000,450000,Promo/cashback,6
FM,1.9509E+14,22,Perempuan,1500000,1300000,Transfer,5
WEAAF,1.9509E+14,21,Perempuan,1000000,700000,Transfer,3
S,1.9509E+14,21,Laki-laki,800000,750000,Tagihan,3
YK,1.9509E+14,21,Perempuan,600000,500000,Belanja,2
PADA,1.9509E+14,21,Perempuan,800000,750000,Transfer,7
LJR,1.9509E+14,22,Perempuan,3500000,1500000,Tagihan,3
ANHW,1.9509E+14,21,Perempuan,300000,300000,Transfer,3
MDF,1.95091E+14,20,Laki-laki,1000000,1000000,Transfer,2
ZAG,1.95091E+14,21,Perempuan,800000,400000,Belanja,12
AEC,1.9509E+14,20,Perempuan,1000000,1000000,Tagihan,1
SSD,1.9509E+14,21,Perempuan,1000000,800000,Transfer,8
MRKRIA,1.9509E+14,21,Laki-laki,700000,700000,Transfer,1
MNSFU,1.95091E+14,21,Laki-laki,1000000,1000000,Transfer,2
N A,1.9509E+14,21,Perempuan,700000,700000,Transfer,2
FA,1.9509E+14,21,Laki-laki,500000,450000,Transfer,12
THH,1.9509E+14,22,Perempuan,1000000,500000,Transfer,5
RUM,1.9509E+14,21,Perempuan,350000,300000,Transfer,1
DAS,1.9509E+14,21,Perempuan,1500000,1400000,Belanja,30
ZBA,1.95091E+14,22,Perempuan,700000,500000,Transfer,12
ND,1.95091E+14,21,Laki-laki,500000,250000,Transfer,7
N A,1.9509E+14,21,Perempuan,1000000,500000,Transfer,7
JIUT,1.9509E+14,21,Perempuan,1600000,1000000,Belanja,8
DAP,1.9509E+14,21,Perempuan,1500000,1000000,Transfer,5
KSP,1.9509E+14,21,Laki-laki,2500000,2000000,Transfer,5
RS,1.9509E+14,21,Perempuan,3000000,2000000,Tagihan,3
FAM,1.9509E+14,22,Perempuan,500000,450000,Transfer,6
NQ,1.9509E+14,21,Perempuan,3000000,2000000,Promo/cashback,3
AA,1.9509E+14,21,Laki-laki,500000,250000,Transfer,4
ZCR,1.9509E+14,20,Perempuan,1200000,800000,Transfer,5
TZ,1.9509E+14,21,Laki-laki,2000000,1700000,Transfer,5
IIF,1.9509E+14,21,Perempuan,1500000,1300000,Transfer,2
NEP,1.95091E+14,21,Perempuan,1500000,1300000,Transfer,22
AIAS,1.9509E+14,22,Perempuan,1000000,900000,Tagihan,1
MR,1.9509E+14,22,Laki-laki,750000,700000,Tagihan,4
SNF,1.9509E+14,21,Perempuan,500000,500000,Transfer,1
ACP,1.9509E+14,22,Laki-laki,1200000,1000000,Transfer,2
NAPP,1.9509E+14,20,Perempuan,3000000,2500000,Transfer,15
SAB,1.9509E+14,21,Perempuan,2000000,1500000,Transfer,8
SSA,1.9509E+14,21,Perempuan,1000000,500000,Transfer,3
PLS,1.9504E+14,21,Perempuan,1700000,1500000,Transfer,10
NSM,1.9509E+14,20,Perempuan,1300000,1300000,Transfer,18
BLH,1.9509E+14,21,Perempuan,1500000,1500000,Promo/cashback,2
HRF,1.9509E+14,21,Laki-laki,1500000,1300000,Transfer,8
RMSA,1.9509E+14,21,Laki-laki,1200000,1200000,Transfer,24
KAN,1.9509E+14,21,Perempuan,1500000,1000000,Promo/cashback,4
